Resident_ID,Resident_Name,Gender,Date_of_Birth,Mobile_Number,Email,Aadhaar_Number,Company_Name,Employee_ID,Occupation,Check_In_Date,Check_Out_Date,Room_Number,Bed_Number,Room_Type,Floor,Monthly_Rent,Deposit_Amount,Amount_Paid,Balance_Amount,Payment_Date,Payment_Method,Payment_Status,Occupancy_Status,Resident_Status,Emergency_Contact,Parent_Name,Parent_Contact,Permanent_Address,City,State,Pincode,Nationality,Religion,ID_Proof_Type,Aadhaar_Copy,Voter_ID_Copy,Joining_Date,Exit_Date,Bed_Status,Room_Capacity,Available_Beds,Remarks,Age
R00011,Resident 11,Male,12-12-1991,800000011,resident11@example.com,1.00E+11,Infosys,EMP00011,Support Engineer,01-01-2026,,RM106,B1,Double,1,7000,10000,7000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000011,Parent 11,600000011,Address 11,Chennai,Tamil Nadu,500011,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,34
R00012,Resident 12,Female,13-01-1992,800000012,resident12@example.com,1.00E+11,Wipro,EMP00012,Software Engineer,01-01-2026,,RM106,B2,Double,1,8000,10000,4000,4000,05-07-2026,Cash,Partial,Occupied,Active,700000012,Parent 12,600000012,Address 12,Guntur,Andhra Pradesh,500012,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,34
R00013,Resident 13,Male,14-02-1993,800000013,resident13@example.com,1.00E+11,Accenture,EMP00013,Analyst,01-01-2026,,RM107,B1,Double,1,9000,10000,9000,0,05-07-2026,UPI,Paid,Occupied,Active,700000013,Parent 13,600000013,Address 13,Vijayawada,Andhra Pradesh,500013,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,33
R00014,Resident 14,Female,15-03-1994,800000014,resident14@example.com,1.00E+11,Capgemini,EMP00014,Tester,01-01-2026,,RM107,B2,Double,1,10000,10000,10000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000014,Parent 14,600000014,Address 14,Hyderabad,Telangana,500014,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,32
R00015,Resident 15,Male,16-04-1995,800000015,resident15@example.com,1.00E+11,TCS,EMP00015,Support Engineer,01-01-2026,,RM108,B1,Double,1,6000,10000,6000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000015,Parent 15,600000015,Address 15,Chennai,Tamil Nadu,500015,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,31
R00016,Resident 16,Female,17-05-1996,800000016,resident16@example.com,1.00E+11,Infosys,EMP00016,Software Engineer,01-01-2026,,RM108,B2,Double,1,7000,10000,3500,3500,05-07-2026,Cash,Partial,Occupied,Active,700000016,Parent 16,600000016,Address 16,Guntur,Andhra Pradesh,500016,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,30
R00017,Resident 17,Male,18-06-1997,800000017,resident17@example.com,1.00E+11,Wipro,EMP00017,Analyst,01-01-2026,,RM109,B1,Double,1,8000,10000,8000,0,05-07-2026,UPI,Paid,Occupied,Active,700000017,Parent 17,600000017,Address 17,Vijayawada,Andhra Pradesh,500017,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,29
R00018,Resident 18,Female,19-07-1998,800000018,resident18@example.com,1.00E+11,Accenture,EMP00018,Tester,01-01-2026,,RM109,B2,Double,1,9000,10000,9000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000018,Parent 18,600000018,Address 18,Hyderabad,Telangana,500018,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,28
R00019,Resident 19,Male,20-08-1999,800000019,resident19@example.com,1.00E+11,Capgemini,EMP00019,Support Engineer,01-01-2026,,RM110,B1,Double,1,10000,10000,10000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000019,Parent 19,600000019,Address 19,Chennai,Tamil Nadu,500019,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,26
R00020,Resident 20,Female,21-09-1990,800000020,resident20@example.com,1.00E+11,TCS,EMP00020,Software Engineer,01-01-2026,,RM110,B2,Double,1,6000,10000,3000,3000,05-07-2026,Cash,Partial,Occupied,Active,700000020,Parent 20,600000020,Address 20,Guntur,Andhra Pradesh,500020,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,35
R00021,Resident 21,Male,22-10-1991,800000021,resident21@example.com,1.00E+11,Infosys,EMP00021,Analyst,01-01-2026,,RM111,B1,Double,2,7000,10000,7000,0,05-07-2026,UPI,Paid,Occupied,Active,700000021,Parent 21,600000021,Address 21,Vijayawada,Andhra Pradesh,500021,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,34
R00022,Resident 22,Female,23-11-1992,800000022,resident22@example.com,1.00E+11,Wipro,EMP00022,Tester,01-01-2026,,RM111,B2,Double,2,8000,10000,8000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000022,Parent 22,600000022,Address 22,Hyderabad,Telangana,500022,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,33
R00023,Resident 23,Male,24-12-1993,800000023,resident23@example.com,1.00E+11,Accenture,EMP00023,Support Engineer,01-01-2026,,RM112,B1,Double,2,9000,10000,9000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000023,Parent 23,600000023,Address 23,Chennai,Tamil Nadu,500023,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,32
R00024,Resident 24,Female,25-01-1994,800000024,resident24@example.com,1.00E+11,Capgemini,EMP00024,Software Engineer,01-01-2026,,RM112,B2,Double,2,10000,10000,5000,5000,05-07-2026,Cash,Partial,Occupied,Active,700000024,Parent 24,600000024,Address 24,Guntur,Andhra Pradesh,500024,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,32
R00025,Resident 25,Male,26-02-1995,800000025,resident25@example.com,1.00E+11,TCS,EMP00025,Analyst,01-01-2026,,RM113,B1,Double,2,6000,10000,6000,0,05-07-2026,UPI,Paid,Occupied,Active,700000025,Parent 25,600000025,Address 25,Vijayawada,Andhra Pradesh,500025,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,31
R00026,Resident 26,Female,27-03-1996,800000026,resident26@example.com,1.00E+11,Infosys,EMP00026,Tester,01-01-2026,,RM113,B2,Double,2,7000,10000,7000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000026,Parent 26,600000026,Address 26,Hyderabad,Telangana,500026,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,30
R00027,Resident 27,Male,28-04-1997,800000027,resident27@example.com,1.00E+11,Wipro,EMP00027,Support Engineer,01-01-2026,,RM114,B1,Double,2,8000,10000,8000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000027,Parent 27,600000027,Address 27,Chennai,Tamil Nadu,500027,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,29
R00028,Resident 28,Female,01-05-1998,800000028,resident28@example.com,1.00E+11,Accenture,EMP00028,Software Engineer,01-01-2026,,RM114,B2,Double,2,9000,10000,4500,4500,05-07-2026,Cash,Partial,Occupied,Active,700000028,Parent 28,600000028,Address 28,Guntur,Andhra Pradesh,500028,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,28
R00029,Resident 29,Male,02-06-1999,800000029,resident29@example.com,1.00E+11,Capgemini,EMP00029,Analyst,01-01-2026,,RM115,B1,Double,2,10000,10000,10000,0,05-07-2026,UPI,Paid,Occupied,Active,700000029,Parent 29,600000029,Address 29,Vijayawada,Andhra Pradesh,500029,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,27
R00030,Resident 30,Female,03-07-1990,800000030,resident30@example.com,1.00E+11,TCS,EMP00030,Tester,01-01-2026,,RM115,B2,Double,2,6000,10000,6000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000030,Parent 30,600000030,Address 30,Hyderabad,Telangana,500030,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,36
R00031,Resident 31,Male,04-08-1991,800000031,resident31@example.com,1.00E+11,Infosys,EMP00031,Support Engineer,01-01-2026,,RM116,B1,Double,2,7000,10000,7000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000031,Parent 31,600000031,Address 31,Chennai,Tamil Nadu,500031,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,34
R00032,Resident 32,Female,05-09-1992,800000032,resident32@example.com,1.00E+11,Wipro,EMP00032,Software Engineer,01-01-2026,,RM116,B2,Double,2,8000,10000,4000,4000,05-07-2026,Cash,Partial,Occupied,Active,700000032,Parent 32,600000032,Address 32,Guntur,Andhra Pradesh,500032,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,33
R00033,Resident 33,Male,06-10-1993,800000033,resident33@example.com,1.00E+11,Accenture,EMP00033,Analyst,01-01-2026,,RM117,B1,Double,2,9000,10000,9000,0,05-07-2026,UPI,Paid,Occupied,Active,700000033,Parent 33,600000033,Address 33,Vijayawada,Andhra Pradesh,500033,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,32
R00034,Resident 34,Female,07-11-1994,800000034,resident34@example.com,1.00E+11,Capgemini,EMP00034,Tester,01-01-2026,,RM117,B2,Double,2,10000,10000,10000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000034,Parent 34,600000034,Address 34,Hyderabad,Telangana,500034,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,31
R00035,Resident 35,Male,08-12-1995,800000035,resident35@example.com,1.00E+11,TCS,EMP00035,Support Engineer,01-01-2026,,RM118,B1,Double,2,6000,10000,6000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000035,Parent 35,600000035,Address 35,Chennai,Tamil Nadu,500035,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,30
R00036,Resident 36,Female,09-01-1996,800000036,resident36@example.com,1.00E+11,Infosys,EMP00036,Software Engineer,01-01-2026,,RM118,B2,Double,2,7000,10000,3500,3500,05-07-2026,Cash,Partial,Occupied,Active,700000036,Parent 36,600000036,Address 36,Guntur,Andhra Pradesh,500036,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,30
R00037,Resident 37,Male,10-02-1997,800000037,resident37@example.com,1.00E+11,Wipro,EMP00037,Analyst,01-01-2026,,RM119,B1,Double,2,8000,10000,8000,0,05-07-2026,UPI,Paid,Occupied,Active,700000037,Parent 37,600000037,Address 37,Vijayawada,Andhra Pradesh,500037,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,29
R00038,Resident 38,Female,11-03-1998,800000038,resident38@example.com,1.00E+11,Accenture,EMP00038,Tester,01-01-2026,,RM119,B2,Double,2,9000,10000,9000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000038,Parent 38,600000038,Address 38,Hyderabad,Telangana,500038,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,28
R00039,Resident 39,Male,12-04-1999,800000039,resident39@example.com,1.00E+11,Capgemini,EMP00039,Support Engineer,01-01-2026,,RM120,B1,Double,2,10000,10000,10000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000039,Parent 39,600000039,Address 39,Chennai,Tamil Nadu,500039,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,27
R00040,Resident 40,Female,13-05-1990,800000040,resident40@example.com,1.00E+11,TCS,EMP00040,Software Engineer,01-01-2026,,RM120,B2,Double,2,6000,10000,3000,3000,05-07-2026,Cash,Partial,Occupied,Active,700000040,Parent 40,600000040,Address 40,Guntur,Andhra Pradesh,500040,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,36
R00041,Resident 41,Male,14-06-1991,800000041,resident41@example.com,1.00E+11,Infosys,EMP00041,Analyst,01-01-2026,,RM121,B1,Double,3,7000,10000,7000,0,05-07-2026,UPI,Paid,Occupied,Active,700000041,Parent 41,600000041,Address 41,Vijayawada,Andhra Pradesh,500041,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,35
R00042,Resident 42,Female,15-07-1992,800000042,resident42@example.com,1.00E+11,Wipro,EMP00042,Tester,01-01-2026,,RM121,B2,Double,3,8000,10000,8000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000042,Parent 42,600000042,Address 42,Hyderabad,Telangana,500042,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,34
R00043,Resident 43,Male,16-08-1993,800000043,resident43@example.com,1.00E+11,Accenture,EMP00043,Support Engineer,01-01-2026,,RM122,B1,Double,3,9000,10000,9000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000043,Parent 43,600000043,Address 43,Chennai,Tamil Nadu,500043,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,32
R00044,Resident 44,Female,17-09-1994,800000044,resident44@example.com,1.00E+11,Capgemini,EMP00044,Software Engineer,01-01-2026,,RM122,B2,Double,3,10000,10000,5000,5000,05-07-2026,Cash,Partial,Occupied,Active,700000044,Parent 44,600000044,Address 44,Guntur,Andhra Pradesh,500044,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,31
R00045,Resident 45,Male,18-10-1995,800000045,resident45@example.com,1.00E+11,TCS,EMP00045,Analyst,01-01-2026,,RM123,B1,Double,3,6000,10000,6000,0,05-07-2026,UPI,Paid,Occupied,Active,700000045,Parent 45,600000045,Address 45,Vijayawada,Andhra Pradesh,500045,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,30
R00046,Resident 46,Female,19-11-1996,800000046,resident46@example.com,1.00E+11,Infosys,EMP00046,Tester,01-01-2026,,RM123,B2,Double,3,7000,10000,7000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000046,Parent 46,600000046,Address 46,Hyderabad,Telangana,500046,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,29
R00047,Resident 47,Male,20-12-1997,800000047,resident47@example.com,1.00E+11,Wipro,EMP00047,Support Engineer,01-01-2026,,RM124,B1,Double,3,8000,10000,8000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000047,Parent 47,600000047,Address 47,Chennai,Tamil Nadu,500047,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,28
R00048,Resident 48,Female,21-01-1998,800000048,resident48@example.com,1.00E+11,Accenture,EMP00048,Software Engineer,01-01-2026,,RM124,B2,Double,3,9000,10000,4500,4500,05-07-2026,Cash,Partial,Occupied,Active,700000048,Parent 48,600000048,Address 48,Guntur,Andhra Pradesh,500048,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,28
R00049,Resident 49,Male,22-02-1999,800000049,resident49@example.com,1.00E+11,Capgemini,EMP00049,Analyst,01-01-2026,,RM125,B1,Double,3,10000,10000,10000,0,05-07-2026,UPI,Paid,Occupied,Active,700000049,Parent 49,600000049,Address 49,Vijayawada,Andhra Pradesh,500049,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,27
R00050,Resident 50,Female,23-03-1990,800000050,resident50@example.com,1.00E+11,TCS,EMP00050,Tester,01-01-2026,,RM125,B2,Double,3,6000,10000,6000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000050,Parent 50,600000050,Address 50,Hyderabad,Telangana,500050,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,36
R00051,Resident 51,Male,24-04-1991,800000051,resident51@example.com,1.00E+11,Infosys,EMP00051,Support Engineer,01-01-2026,,RM126,B1,Double,3,7000,10000,7000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000051,Parent 51,600000051,Address 51,Chennai,Tamil Nadu,500051,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,35
R00052,Resident 52,Female,25-05-1992,800000052,resident52@example.com,1.00E+11,Wipro,EMP00052,Software Engineer,01-01-2026,,RM126,B2,Double,3,8000,10000,4000,4000,05-07-2026,Cash,Partial,Occupied,Active,700000052,Parent 52,600000052,Address 52,Guntur,Andhra Pradesh,500052,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,34
R00053,Resident 53,Male,26-06-1993,800000053,resident53@example.com,1.00E+11,Accenture,EMP00053,Analyst,01-01-2026,,RM127,B1,Double,3,9000,10000,9000,0,05-07-2026,UPI,Paid,Occupied,Active,700000053,Parent 53,600000053,Address 53,Vijayawada,Andhra Pradesh,500053,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,33
R00054,Resident 54,Female,27-07-1994,800000054,resident54@example.com,1.00E+11,Capgemini,EMP00054,Tester,01-01-2026,,RM127,B2,Double,3,10000,10000,10000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000054,Parent 54,600000054,Address 54,Hyderabad,Telangana,500054,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,31
R00055,Resident 55,Male,28-08-1995,800000055,resident55@example.com,1.00E+11,TCS,EMP00055,Support Engineer,01-01-2026,,RM128,B1,Double,3,6000,10000,6000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000055,Parent 55,600000055,Address 55,Chennai,Tamil Nadu,500055,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,30
R00056,Resident 56,Female,01-09-1996,800000056,resident56@example.com,1.00E+11,Infosys,EMP00056,Software Engineer,01-01-2026,,RM128,B2,Double,3,7000,10000,3500,3500,05-07-2026,Cash,Partial,Occupied,Active,700000056,Parent 56,600000056,Address 56,Guntur,Andhra Pradesh,500056,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,29
R00057,Resident 57,Male,02-10-1997,800000057,resident57@example.com,1.00E+11,Wipro,EMP00057,Analyst,01-01-2026,,RM129,B1,Double,3,8000,10000,8000,0,05-07-2026,UPI,Paid,Occupied,Active,700000057,Parent 57,600000057,Address 57,Vijayawada,Andhra Pradesh,500057,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,28
R00058,Resident 58,Female,03-11-1998,800000058,resident58@example.com,1.00E+11,Accenture,EMP00058,Tester,01-01-2026,,RM129,B2,Double,3,9000,10000,9000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000058,Parent 58,600000058,Address 58,Hyderabad,Telangana,500058,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,27
R00059,Resident 59,Male,04-12-1999,800000059,resident59@example.com,1.00E+11,Capgemini,EMP00059,Support Engineer,01-01-2026,,RM130,B1,Double,3,10000,10000,10000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000059,Parent 59,600000059,Address 59,Chennai,Tamil Nadu,500059,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,26
R00060,Resident 60,Female,05-01-1990,800000060,resident60@example.com,1.00E+11,TCS,EMP00060,Software Engineer,01-01-2026,,RM130,B2,Double,3,6000,10000,3000,3000,05-07-2026,Cash,Partial,Occupied,Active,700000060,Parent 60,600000060,Address 60,Guntur,Andhra Pradesh,500060,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,36
R00061,Resident 61,Male,06-02-1991,800000061,resident61@example.com,1.00E+11,Infosys,EMP00061,Analyst,01-01-2026,,RM131,B1,Double,4,7000,10000,7000,0,05-07-2026,UPI,Paid,Occupied,Active,700000061,Parent 61,600000061,Address 61,Vijayawada,Andhra Pradesh,500061,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,35
R00062,Resident 62,Female,07-03-1992,800000062,resident62@example.com,1.00E+11,Wipro,EMP00062,Tester,01-01-2026,,RM131,B2,Double,4,8000,10000,8000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000062,Parent 62,600000062,Address 62,Hyderabad,Telangana,500062,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,34
R00063,Resident 63,Male,08-04-1993,800000063,resident63@example.com,1.00E+11,Accenture,EMP00063,Support Engineer,01-01-2026,,RM132,B1,Double,4,9000,10000,9000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000063,Parent 63,600000063,Address 63,Chennai,Tamil Nadu,500063,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,33
R00064,Resident 64,Female,09-05-1994,800000064,resident64@example.com,1.00E+11,Capgemini,EMP00064,Software Engineer,01-01-2026,,RM132,B2,Double,4,10000,10000,5000,5000,05-07-2026,Cash,Partial,Occupied,Active,700000064,Parent 64,600000064,Address 64,Guntur,Andhra Pradesh,500064,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,32
R00065,Resident 65,Male,10-06-1995,800000065,resident65@example.com,1.00E+11,TCS,EMP00065,Analyst,01-01-2026,,RM133,B1,Double,4,6000,10000,6000,0,05-07-2026,UPI,Paid,Occupied,Active,700000065,Parent 65,600000065,Address 65,Vijayawada,Andhra Pradesh,500065,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,31
R00066,Resident 66,Female,11-07-1996,800000066,resident66@example.com,1.00E+11,Infosys,EMP00066,Tester,01-01-2026,,RM133,B2,Double,4,7000,10000,7000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000066,Parent 66,600000066,Address 66,Hyderabad,Telangana,500066,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,30
R00067,Resident 67,Male,12-08-1997,800000067,resident67@example.com,1.00E+11,Wipro,EMP00067,Support Engineer,01-01-2026,,RM134,B1,Double,4,8000,10000,8000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000067,Parent 67,600000067,Address 67,Chennai,Tamil Nadu,500067,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,28
R00068,Resident 68,Female,13-09-1998,800000068,resident68@example.com,1.00E+11,Accenture,EMP00068,Software Engineer,01-01-2026,,RM134,B2,Double,4,9000,10000,4500,4500,05-07-2026,Cash,Partial,Occupied,Active,700000068,Parent 68,600000068,Address 68,Guntur,Andhra Pradesh,500068,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,27
R00069,Resident 69,Male,14-10-1999,800000069,resident69@example.com,1.00E+11,Capgemini,EMP00069,Analyst,01-01-2026,,RM135,B1,Double,4,10000,10000,10000,0,05-07-2026,UPI,Paid,Occupied,Active,700000069,Parent 69,600000069,Address 69,Vijayawada,Andhra Pradesh,500069,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,26
